,accurate_pass,corners,fouls,game_id,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
0,482,4,14,829517,1,59.6,0,0,5,1,558,13,2
1,480,4,15,829530,1,55.3,0,1,4,1,544,23,2
2,451,6,14,829534,0,64,0,1,3,1,553,21,2
3,754,3,11,829548,4,68.5,0,2,7,0,825,18,1
4,446,4,9,829556,3,57.2,1,0,7,4,528,18,1
5,425,7,10,829568,2,57.4,1,2,3,2,504,20,1
6,360,4,9,829576,0,48,1,0,5,3,456,24,1
7,230,5,8,829577,2,38.6,0,2,6,4,317,27,1
8,592,11,8,829597,1,71.4,0,2,7,0,667,16,1
9,485,11,8,829614,2,62.7,0,1,8,1,574,19,2
10,375,11,18,829620,2,48.7,0,2,8,1,441,15,4
11,375,4,13,829629,1,51.7,0,1,10,0,439,16,3
12,506,4,16,829646,3,61.9,0,2,4,4,570,18,1
13,744,7,12,829649,3,76.4,0,2,4,5,807,14,2
14,468,3,9,829651,0,60.5,0,0,8,2,568,18,2
15,417,2,13,829660,3,54.7,0,2,3,1,514,35,4
16,528,9,10,829676,1,64.7,0,1,3,2,588,10,1
17,461,3,10,829691,2,61.7,0,2,2,2,595,19,2
18,562,3,8,829693,2,64,0,2,5,1,631,18,2
19,281,6,19,829694,0,51.6,0,1,2,6,397,27,4
20,426,7,12,829726,1,65.9,0,1,4,2,506,12,0
21,384,1,9,829733,2,48.1,0,2,1,1,478,27,1
22,421,4,12,829740,3,51.6,0,2,5,5,508,32,1
23,442,1,9,829741,4,58.6,0,2,1,3,546,15,0
24,396,6,12,829753,2,62.5,0,2,4,1,477,26,1
25,484,1,14,829776,1,67.6,0,2,5,6,554,15,2
26,647,9,10,829787,0,79.7,0,0,5,3,720,15,1
27,464,3,17,829788,2,58.3,0,2,0,3,569,28,2
28,668,10,15,829806,3,76.4,0,2,9,0,736,16,0
29,497,7,10,829818,0,65.1,0,0,3,2,576,14,2
30,607,7,11,829821,0,70.4,0,0,8,3,664,21,1
31,459,5,16,829825,1,57.4,0,1,3,8,560,37,1
32,424,1,15,829834,0,59.1,1,1,3,0,525,17,2
33,556,13,6,829857,2,73.4,0,2,11,1,625,16,1
34,599,4,8,829858,3,71.4,0,2,4,3,679,14,0
35,317,9,13,829868,1,58.8,1,1,6,2,414,20,2
36,419,5,15,829880,3,57.3,0,2,3,2,511,15,4
37,508,10,15,829891,1,64,0,0,9,1,585,10,4
38,401,1,12,958431,1,50,0,2,4,1,487,21,2
39,458,5,10,958472,1,54.4,0,2,4,3,534,24,2
40,612,7,9,958821,3,66.3,0,2,3,4,677,17,1
41,389,7,12,959601,1,56.5,0,0,3,2,474,23,1
42,549,5,16,959602,0,66.8,0,1,5,2,617,21,4
43,412,6,10,959638,0,62.6,0,1,11,2,496,18,1
44,331,4,11,959653,0,55.4,0,0,5,2,457,9,0
45,350,3,12,959654,3,45.8,0,1,5,1,432,22,3
46,379,2,13,959667,3,46.9,0,2,5,3,461,21,2
47,540,5,11,959678,2,67.7,0,2,5,1,648,15,1
48,381,10,12,959679,2,56.4,0,2,5,5,499,18,2
49,350,12,16,959683,0,58.5,0,0,3,1,453,16,2
50,430,4,14,959696,2,54.7,0,2,5,1,515,19,2
51,411,8,15,959705,1,66.3,0,0,1,6,501,17,3
52,350,11,9,959706,1,50.7,0,1,6,1,435,20,3
53,499,11,4,959708,1,69.2,0,0,6,2,605,17,0
54,315,4,18,959710,1,46.7,0,2,5,0,431,26,2
55,494,8,7,959712,1,68.9,0,1,4,1,593,20,1
56,497,14,9,959728,1,66.2,0,2,7,4,581,18,0
57,471,6,10,959731,1,66.9,0,2,6,1,579,19,0
58,362,2,18,959734,2,58.7,0,0,1,2,473,25,3
59,567,11,15,959737,0,69.3,0,1,3,4,637,17,2
60,499,6,16,959749,1,70.5,0,1,7,1,592,14,3
61,542,1,15,959772,1,64.5,0,0,6,1,657,15,2
62,470,4,6,959778,3,55.7,0,2,3,2,559,23,1
63,495,5,13,959790,3,59.2,0,2,5,3,575,15,0
64,524,5,12,959796,3,66.2,0,2,1,0,603,18,0
65,548,6,17,959804,0,62.2,0,0,3,3,632,22,3
66,448,3,14,959816,3,52.8,0,2,2,1,524,23,2
67,446,6,17,959829,0,58.7,0,1,2,0,543,19,2
68,375,3,15,959835,0,55.4,0,1,2,1,456,23,3
69,265,2,21,959844,3,38.9,0,2,1,2,347,24,4
70,422,5,15,959853,1,54.4,0,2,3,2,514,13,2
71,299,5,12,959867,1,45.5,0,2,0,1,398,26,1
72,364,5,7,959878,0,53.4,1,0,2,1,503,28,0
73,320,7,10,959901,0,53,0,0,1,3,442,24,3
74,563,10,13,959902,2,66.3,0,2,3,3,633,29,1
75,395,9,7,959905,1,61.3,0,2,6,2,504,21,1
76,488,2,10,1080507,3,52.6,0,2,2,4,561,27,1
77,478,3,16,1080522,2,58.8,0,2,3,0,542,25,2
78,340,4,11,1080528,2,43.4,0,2,6,2,408,11,0
79,542,7,6,1080539,1,62.1,0,2,12,1,615,14,3
80,284,4,15,1080550,1,39.9,0,0,6,3,376,24,4
81,347,7,19,1080564,1,60.1,0,0,9,2,417,15,4
82,619,8,9,1080570,4,67.3,0,2,8,4,712,15,0
83,259,1,20,1080576,0,35.4,0,1,5,5,342,28,4
84,485,7,17,1080588,0,56.1,0,0,6,3,556,21,2
85,468,13,14,1080591,1,67.2,0,1,7,1,534,22,3
86,573,19,12,1080606,0,72.2,1,1,8,0,646,8,1
