,accurate_pass,corners,fouls,game_id,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
87,540,8,16,1080624,1,68.4,0,1,7,4,611,16,3
88,695,0,16,1080625,3,62.8,0,2,5,1,762,18,2
89,352,10,14,1080633,1,45.5,0,1,5,3,444,23,3
90,347,3,11,1080637,1,54.5,0,1,4,4,464,24,3
91,474,3,13,1080651,2,57.9,0,2,4,2,574,15,3
92,537,6,6,1080676,3,62.2,0,2,11,4,607,8,1
93,542,3,13,1080682,3,67.6,0,2,4,2,644,17,4
94,642,1,13,1080695,2,63.8,0,2,5,5,713,18,2
95,198,3,19,1080697,1,40.2,0,2,4,1,288,21,3
96,373,5,17,1080715,1,55.9,0,1,5,4,487,25,1
97,532,12,9,1080716,2,65.5,0,2,12,5,610,7,1
98,496,5,10,1080722,2,57.9,0,2,7,5,587,28,1
99,529,8,10,1080729,2,60.9,0,2,7,1,625,23,3
100,199,4,8,1080759,0,30.8,1,1,1,1,288,21,1
101,499,7,12,1080763,1,65.1,0,1,8,6,591,14,0
102,538,7,20,1080776,0,67.1,0,1,4,6,634,18,1
103,494,6,10,1080787,1,61.6,0,1,8,3,576,23,1
104,672,6,15,1080796,0,74.8,0,1,8,0,761,15,3
105,539,15,9,1080797,1,68.6,0,1,5,3,620,13,3
106,371,3,10,1080799,0,47.2,0,1,8,3,450,9,1
107,239,3,8,1080819,3,36.1,0,2,4,1,326,15,1
108,506,5,20,1080826,3,70.3,0,2,5,2,582,11,5
109,272,3,15,1080833,1,40,0,0,6,1,356,17,2
110,369,3,16,1080840,2,54.3,0,2,3,1,471,18,1
111,438,5,11,1080852,1,55.4,0,1,5,1,519,13,2
112,320,1,16,1080861,2,46.2,0,2,6,1,416,28,3
113,452,9,10,1080862,0,50,0,0,4,4,530,22,0
114,503,10,15,1190395,0,64.1,0,0,3,2,630,12,2
115,576,9,8,1190197,2,69.1,0,2,7,2,662,9,1
116,554,7,8,1190341,3,69.5,0,2,3,2,654,9,3
117,495,6,10,1190432,2,60.2,0,2,8,1,585,12,0
118,194,1,10,1190393,2,32.1,0,2,1,3,283,22,2
119,363,4,13,1190386,1,51.8,0,2,4,2,461,13,3
120,417,11,19,1190179,4,55.4,0,2,8,1,493,14,2
121,490,11,10,1190227,2,63.2,0,1,5,4,564,9,0
122,643,7,12,1190226,1,77.9,0,0,3,3,741,13,2
123,675,3,5,1190453,2,66.5,0,2,4,5,746,17,0
124,372,3,13,1190335,0,47.4,0,0,2,9,470,25,2
125,484,3,7,1190526,2,56.9,0,2,2,1,588,12,3
126,288,4,9,1190240,1,39.4,0,2,3,2,368,16,4
127,598,6,3,1190452,0,68.3,0,0,7,2,675,8,0
128,352,3,13,1190446,2,44.3,0,2,1,1,432,20,2
129,244,4,9,1190478,3,35.2,0,2,1,2,318,11,3
130,543,9,12,1190493,2,59.2,0,2,6,2,609,16,0
131,370,6,6,1190479,1,51.4,0,2,4,5,460,25,4
132,519,6,12,1190509,0,55.8,0,1,7,2,601,16,1
133,257,5,10,1190291,4,40.6,0,2,3,0,346,14,1
134,283,6,12,1190252,1,44.8,0,2,5,2,405,9,1
135,542,11,10,1190287,4,64.7,0,2,6,1,620,15,1
136,478,5,9,1190314,1,58.3,0,2,7,2,565,10,0
137,474,5,8,1190512,2,55.6,0,2,1,3,556,19,1
138,147,1,10,1190315,3,24.9,1,2,1,0,222,15,2
139,371,6,8,1190538,2,50.3,0,1,9,5,448,17,2
140,482,4,14,1190529,1,56.4,0,2,3,2,570,13,1
141,225,2,16,1190305,1,35.4,0,0,2,4,329,22,4
142,474,6,6,1190259,4,59.3,0,2,6,2,566,17,0
143,301,7,20,1190258,0,46,0,0,3,0,396,13,3
144,658,4,8,1190502,0,70.3,0,0,6,4,742,15,1
145,267,3,13,1190270,0,37.8,0,1,2,1,354,21,2
146,534,12,10,1190360,2,71.3,0,1,7,0,638,11,3
147,403,4,15,1190198,4,49.2,0,2,5,2,476,14,1
148,542,6,14,1190358,3,60.3,0,2,6,4,604,15,2
149,427,10,12,1190400,0,54.5,0,1,5,1,500,14,2
150,523,5,11,1190206,4,59,0,2,6,0,601,16,1
151,697,5,5,1190367,2,74.3,0,2,4,4,786,15,2
