,accurate_pass,corners,fouls,game_id,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
0,386,5,10,829522,1,53.4,1,2,2,0,482,19,0
1,619,7,12,829532,4,65.5,0,2,6,1,686,24,0
2,478,7,14,829541,0,60.4,0,0,4,3,559,17,0
3,515,5,14,829551,2,62,0,1,4,1,593,30,1
4,418,9,12,829561,0,61.8,0,0,4,0,512,13,2
5,201,5,16,829563,1,31.4,0,1,2,2,279,23,6
6,449,10,9,829587,1,66.9,0,0,8,1,556,26,2
7,287,4,9,829590,1,38.3,1,0,4,2,377,19,2
8,528,9,9,829598,2,72.7,0,2,8,1,613,14,1
9,413,9,11,829606,2,59.9,0,2,6,1,510,19,3
10,346,5,20,829622,1,60.5,1,0,7,1,431,27,3
11,274,10,15,829635,1,46.2,0,2,3,6,360,20,2
12,426,6,14,829638,1,58.4,0,0,3,1,536,18,3
13,344,1,14,829641,2,50.4,0,2,4,3,457,20,2
14,326,9,17,829668,2,46.5,0,2,3,0,422,26,4
15,314,3,15,829669,2,38.6,0,2,4,2,384,23,5
16,249,3,11,829694,0,48.4,0,1,3,1,374,26,2
17,486,6,14,829699,2,64.8,0,2,8,3,567,21,1
18,495,9,9,829708,2,65.2,0,2,11,2,613,21,1
19,522,6,9,829709,0,61.3,0,0,7,2,604,31,1
20,325,5,14,829728,5,46.2,0,2,2,1,425,30,3
21,501,2,11,829735,0,67.6,0,1,8,1,605,29,1
22,393,2,10,829740,0,48.4,0,0,2,4,476,20,1
23,460,5,8,829742,4,65.8,0,2,5,1,573,24,2
24,421,3,5,829766,0,60,0,1,8,3,537,18,0
25,429,6,10,829775,2,55.7,0,2,3,0,524,18,3
26,447,3,13,829778,3,61.1,0,2,3,5,544,21,4
27,368,9,11,829781,0,57,0,0,9,5,468,19,3
28,554,6,14,829792,3,61,0,2,4,2,631,20,1
29,343,8,12,829801,0,55,1,0,3,1,431,11,0
30,383,8,6,829811,0,55,0,0,11,2,488,20,3
31,521,5,8,829830,1,59.6,0,2,4,4,624,15,2
32,497,3,10,829839,2,63.8,0,1,2,2,603,20,3
33,307,7,17,829842,2,50.6,0,0,3,1,411,24,6
34,377,10,8,829864,2,56,0,2,10,6,482,21,3
35,337,5,12,829865,2,62.5,0,2,6,3,454,24,2
36,526,3,13,829874,3,62.8,0,2,7,1,615,16,1
37,421,7,6,829892,2,64.8,0,1,12,2,519,28,0
38,391,2,12,958431,0,50,0,0,2,2,487,26,3
39,407,4,15,958479,2,53.2,0,1,2,3,500,16,2
40,493,8,6,958824,1,61.5,0,0,7,1,551,21,2
41,278,7,9,959565,2,49,0,2,4,2,383,20,1
42,458,6,10,959581,1,64.6,0,1,2,1,559,15,2
43,391,4,14,959588,0,57.7,0,1,2,2,497,15,4
44,432,4,6,959599,3,61.3,0,2,4,3,530,21,0
45,521,11,8,959603,4,66.6,0,2,9,1,621,18,0
46,319,8,9,959617,3,54.2,0,2,9,0,426,24,2
47,436,10,12,959623,3,63.9,0,2,6,2,533,17,2
48,454,15,12,959626,1,65.9,0,2,9,2,555,14,0
49,289,6,17,959629,1,45.1,0,1,7,3,383,22,1
50,410,3,13,959632,2,62.5,0,2,7,1,525,12,2
51,392,7,13,959670,4,55.8,0,2,5,3,484,21,2
52,364,6,13,959671,1,58.3,0,0,7,2,477,18,2
53,505,4,11,959681,1,59.2,0,1,4,1,599,18,2
54,358,16,13,959682,0,61.7,0,0,5,2,454,14,1
55,463,1,17,959692,2,54,0,2,2,1,564,33,3
56,428,9,4,959698,3,59.8,0,2,3,3,533,18,1
57,457,9,8,959730,1,66.5,0,1,8,1,537,19,0
58,440,7,14,959733,1,65.2,0,1,9,0,523,11,4
59,500,10,8,959739,1,69.8,0,0,9,1,586,14,0
60,314,3,12,959740,4,48.8,0,2,13,1,396,24,0
61,327,8,20,959742,2,52.7,0,1,5,0,408,23,9
62,372,6,20,959773,0,49.9,0,1,8,3,440,25,4
63,327,8,12,959780,1,56.1,0,2,6,0,411,26,1
64,358,6,9,959793,1,57.1,0,2,6,3,436,32,1
65,291,5,17,959800,4,46,0,2,3,5,407,28,5
66,408,6,19,959813,2,54.4,0,1,4,0,483,17,4
67,304,8,15,959821,0,48.5,0,1,4,2,407,41,1
68,403,5,15,959826,5,54.2,0,2,2,5,490,24,1
69,410,9,11,959849,1,57.8,0,1,7,1,520,17,0
70,349,7,11,959860,2,57.2,0,2,13,3,450,11,2
71,317,9,10,959870,2,51.8,0,1,7,2,423,30,2
72,520,4,11,959883,3,62.8,0,2,8,3,601,20,0
73,475,8,6,959886,2,62.5,0,2,6,2,574,21,0
74,368,3,11,959900,0,65.1,0,0,6,2,502,32,3
75,281,2,10,959901,3,47,0,2,7,3,395,27,3
76,384,6,14,1080511,1,57.5,0,1,4,0,483,18,0
77,520,3,5,1080519,7,65.3,0,2,3,0,600,14,0
78,353,11,19,1080532,1,56.9,0,2,9,2,440,29,3
79,306,5,11,1080543,1,49.3,0,1,5,2,419,22,3
80,426,8,18,1080552,4,60.3,0,2,4,0,510,8,2
81,546,14,7,1080563,1,73.7,0,2,15,0,613,16,1
82,452,10,9,1080571,2,58.4,0,2,7,3,550,15,1
83,540,8,10,1080581,1,71.5,0,1,3,3,601,11,2
84,451,4,15,1080584,0,61.6,0,1,6,3,543,18,4
85,248,4,20,1080597,2,42.3,0,2,4,8,348,23,2
86,405,8,11,1080613,1,64.1,0,1,11,2,493,11,3
87,395,2,17,1080616,1,54.3,0,1,7,1,522,15,2
