,accurate_pass,corners,fouls,game_id,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
88,511,4,13,1080647,3,66.9,0,2,4,2,595,15,3
89,401,11,10,1080648,2,60.2,0,2,12,0,482,16,1
90,491,5,11,1080652,5,60,0,2,7,3,575,16,0
91,371,8,16,1080662,1,54.1,0,0,5,3,459,22,1
92,521,10,16,1080680,4,65.7,0,2,7,0,622,29,4
93,334,1,9,1080687,2,45.5,0,2,6,2,440,24,3
94,494,11,8,1080694,1,65.2,0,2,6,5,583,20,0
95,333,8,17,1080697,0,59.8,0,0,4,0,429,22,3
96,297,3,14,1080718,0,49.1,0,0,4,1,421,20,5
97,588,8,11,1080727,4,72.9,0,2,7,1,670,22,0
98,480,3,6,1080728,4,66.2,0,2,11,3,578,22,0
99,588,5,6,1080746,3,63.4,0,2,6,2,670,6,0
100,287,4,7,1080754,2,45.4,0,1,3,5,399,19,4
101,504,8,11,1080764,4,64.3,0,2,7,1,588,11,2
102,468,12,13,1080773,0,71.6,0,1,4,3,557,11,0
103,467,7,6,1080780,2,61,0,2,6,1,573,12,0
104,558,7,8,1080781,3,71.8,0,2,5,4,642,20,1
105,492,11,15,1080782,1,68.9,0,2,8,0,593,24,3
106,367,7,9,1080813,3,51.5,0,2,5,2,462,15,1
107,436,7,12,1080830,4,58.7,0,2,5,1,501,23,0
108,341,5,12,1080831,2,50.5,0,2,2,2,456,13,3
109,432,8,14,1080833,2,60,0,2,5,2,530,18,1
110,476,4,8,1080845,6,62.7,0,2,11,2,561,17,1
111,331,14,7,1080857,2,51.2,0,2,6,2,416,14,1
112,582,13,8,1080871,4,68.8,0,2,1,3,655,13,0
113,447,7,9,1080880,0,67.6,0,0,4,0,571,17,2
114,628,7,10,1190180,2,73.1,0,2,5,1,702,16,2
115,501,14,14,1190209,1,67.7,0,0,6,0,592,14,4
116,274,3,2,1190234,4,36.2,0,2,5,1,359,22,0
117,408,3,8,1190368,5,57,0,2,7,1,493,12,0
118,566,13,5,1190435,1,76.2,0,2,6,1,662,14,1
119,558,7,10,1190408,1,70.7,0,1,9,3,669,19,0
120,579,12,12,1190321,5,70.8,0,2,6,7,657,18,1
121,432,6,10,1190335,2,52.6,0,2,9,1,527,26,2
122,329,2,8,1190283,1,49.5,1,1,4,10,404,21,1
123,419,4,10,1190532,3,59.6,0,2,5,1,527,9,2
124,436,4,16,1190320,0,57.9,0,0,8,1,549,12,1
125,593,5,9,1190450,2,67.7,0,2,5,2,675,21,2
126,452,7,4,1190257,4,59.5,0,2,5,2,558,16,1
127,518,9,12,1190469,0,73.8,0,0,7,0,615,13,1
128,293,3,20,1190247,3,51.1,1,2,7,5,394,19,2
129,394,3,14,1190252,0,55.2,0,0,5,1,509,11,0
130,613,9,9,1190534,1,72.9,0,2,4,3,688,19,1
131,327,1,20,1190520,1,47.1,0,0,4,2,412,17,4
132,479,4,11,1190497,2,61.5,0,2,6,3,557,19,1
133,601,8,10,1190330,1,72.5,0,1,10,2,689,15,1
134,454,3,8,1190480,2,66.7,0,2,5,3,550,15,3
135,393,4,9,1190457,5,64,0,2,5,2,480,20,1
136,371,5,11,1190506,1,48,0,0,1,5,464,22,3
137,459,6,10,1190507,1,62.9,0,2,3,4,551,12,2
138,663,10,5,1190539,2,75.1,0,2,6,3,749,15,1
139,465,9,10,1190288,1,62.6,0,0,9,1,561,19,2
140,491,10,6,1190312,1,68.4,0,2,6,3,583,20,0
141,537,5,5,1190514,1,64.1,0,1,5,0,634,10,0
142,435,5,11,1190515,3,51.3,0,2,3,3,528,20,1
143,473,7,9,1190363,2,65.9,0,1,2,2,590,16,1
144,465,5,7,1190377,4,63,0,2,1,3,559,22,1
145,411,10,13,1190411,1,49.9,0,2,11,1,494,14,2
146,367,3,14,1190217,3,49.3,0,2,6,3,458,13,1
147,674,11,11,1190202,0,74.9,0,1,14,0,757,14,1
148,503,10,9,1190201,1,67.3,0,1,6,1,588,9,0
149,701,8,6,1190365,2,74.5,0,2,3,4,806,10,1
150,407,9,15,1190402,1,58.9,0,1,10,1,491,16,3
151,484,3,11,1190366,4,61.5,0,2,6,2,579,18,0
