,accurate_pass,corners,fouls,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
0,640,9,13,2,76,0,2,5,0,730,26,2
1,448,3,18,2,54.2,0,1,9,0,527,15,4
2,613,10,5,1,68.3,0,1,5,3,690,18,1
3,367,0,11,2,45.3,0,1,9,2,462,31,3
4,737,5,9,3,70.9,0,2,4,2,815,14,3
5,544,15,7,1,68.6,0,1,3,3,618,17,3
6,412,11,12,1,61.4,0,0,8,1,490,19,2
7,441,3,9,2,57.1,0,2,8,0,539,31,3
8,425,2,10,0,53,0,0,6,0,505,25,3
9,542,18,5,3,67.6,0,2,10,2,630,10,0
10,382,10,16,1,51.9,0,0,3,0,462,16,5
11,381,9,14,4,51.3,0,2,8,3,467,26,2
12,616,10,9,2,65.8,0,1,6,0,698,21,2
13,416,4,10,1,51.6,0,2,6,1,507,10,1
14,445,9,7,1,58.6,0,2,7,2,539,24,0
15,275,3,5,2,35.3,0,2,4,0,360,22,3
16,249,6,14,2,36.5,0,1,3,1,345,25,3
17,195,8,13,2,42.2,0,2,8,1,294,25,3
18,420,7,6,5,48,0,2,3,3,508,16,0
19,448,6,6,2,55.9,1,2,6,3,539,15,1
20,473,7,7,0,58.5,0,0,4,1,557,14,1
21,427,9,11,3,53.8,0,2,7,4,496,22,0
22,374,9,14,2,57.5,1,0,5,3,453,14,2
23,400,6,7,4,48.6,0,2,4,4,479,24,1
24,605,5,11,3,67.7,0,2,6,1,685,17,0
25,491,6,17,0,57,0,1,6,0,568,16,4
26,576,7,6,4,63.7,0,2,4,1,637,15,1
27,489,8,10,3,67.9,0,2,5,3,590,16,1
28,340,4,7,2,49.1,0,2,1,4,441,32,0
29,717,5,6,0,75.1,0,1,13,0,798,12,1
30,324,5,8,1,42.6,0,1,2,2,414,17,0
31,691,6,7,0,67.9,0,0,6,1,762,16,0
32,571,6,7,1,68.2,0,2,6,2,688,15,0
33,321,8,12,2,47.2,0,2,7,2,398,27,2
34,270,3,12,1,44,0,0,3,3,386,20,5
35,264,1,14,2,47.1,0,2,5,3,365,21,3
36,474,6,13,2,57.1,0,2,3,1,564,15,2
37,407,6,8,2,56.8,0,2,4,2,520,20,1
38,481,5,12,0,61.8,0,0,7,3,556,12,1
39,478,6,12,2,59.2,0,2,6,2,564,27,1
