,accurate_pass,corners,fouls,game_id,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
0,514,2,8,829516,2,56.1,0,2,5,2,601,16,1
1,441,7,7,829528,1,47.1,0,0,4,1,508,17,1
2,283,3,11,829541,3,39.6,0,2,8,1,370,28,4
3,659,7,9,829547,0,74.7,0,0,10,3,741,12,2
4,385,5,11,829562,1,62.1,0,0,3,0,468,18,1
5,354,8,8,829567,1,46.4,0,1,7,2,418,27,2
6,496,2,8,829580,0,64.5,0,0,2,7,583,29,3
7,464,3,10,829589,1,63.7,0,0,9,1,527,10,2
8,448,5,9,829592,1,58.4,0,0,1,6,524,16,2
9,352,2,15,829599,3,56.5,0,2,7,2,454,26,3
10,384,5,12,829615,2,54.1,0,2,5,3,452,16,2
11,448,14,12,829624,0,65.9,0,1,6,1,535,21,3
12,342,5,11,829645,1,47.7,0,2,7,0,444,21,0
13,445,6,11,829655,1,52.6,0,2,10,0,508,26,4
14,333,7,14,829660,0,45.3,0,0,4,2,416,18,3
15,370,5,11,829667,2,51.5,0,2,5,5,465,21,1
16,391,6,8,829670,4,43.5,0,2,7,2,473,21,1
17,512,10,6,829684,2,63.5,1,1,13,0,610,32,0
18,345,4,10,829689,3,53.4,0,2,3,6,435,29,2
19,395,4,13,829710,2,58.8,0,1,9,2,481,22,2
20,401,2,5,829719,1,52.4,0,2,2,4,529,27,1
21,378,5,12,829725,0,53.2,0,1,6,1,457,24,1
22,572,4,11,829739,0,73.2,0,1,9,1,673,10,0
23,402,4,11,829745,1,52.2,0,1,8,3,468,18,3
24,498,7,10,829754,0,68.8,0,0,1,0,591,28,0
25,479,5,16,829756,1,53.7,0,2,8,0,566,27,3
26,421,5,9,829758,1,51.4,1,0,9,3,509,25,0
27,582,6,8,829760,2,63.1,0,2,7,0,677,9,0
28,371,9,9,829779,2,62.1,0,2,10,3,475,24,2
29,306,2,14,829788,1,41.7,1,0,4,0,407,13,2
30,502,4,10,829817,1,66.3,0,0,10,1,586,20,2
31,456,6,8,829837,2,61.8,0,2,5,3,550,23,2
32,315,5,13,829842,3,49.4,0,2,5,1,406,16,3
33,421,9,4,829848,1,54.5,0,0,5,1,514,20,2
34,374,3,8,829853,2,48,0,2,5,3,481,24,1
35,455,5,12,829854,2,66.1,0,2,9,1,542,26,1
36,473,6,7,829886,0,54.4,0,1,4,2,552,20,1
37,273,1,14,829887,2,40.3,0,2,1,2,377,18,3
38,378,5,16,958434,1,53,0,2,1,2,478,19,4
39,403,6,11,958474,1,54.9,0,2,11,1,492,24,1
40,516,5,14,958837,1,67.4,0,1,3,0,612,23,1
41,576,7,4,959566,2,71.3,0,1,7,3,692,16,1
42,390,9,8,959584,0,64.4,0,0,9,3,501,18,1
43,376,9,9,959595,0,64.9,0,0,4,10,500,19,0
44,438,12,7,959607,0,63.9,0,0,5,2,566,30,1
45,337,4,16,959622,1,57.7,0,2,7,0,465,16,3
46,423,9,9,959624,3,59.5,0,1,6,4,535,21,2
47,265,5,13,959630,4,41.6,0,2,2,5,390,32,3
48,529,4,7,959631,2,70.4,0,1,11,1,642,17,0
49,391,7,11,959645,1,64.8,0,2,12,5,517,18,2
50,540,6,9,959646,6,60.7,0,2,1,1,635,24,1
51,447,7,10,959648,0,60.2,0,0,7,2,574,26,1
52,332,3,14,959663,5,52.1,0,2,2,4,445,22,1
53,408,14,7,959669,1,63.8,0,0,9,1,499,28,1
54,366,5,6,959710,0,53.3,0,0,10,3,491,36,0
55,435,8,12,959714,1,53.7,0,2,3,0,534,24,3
56,250,8,13,959721,0,34.3,0,1,4,4,351,25,4
57,479,8,10,959723,2,66.1,0,2,8,2,563,22,1
58,483,5,8,959759,2,67,0,1,3,3,609,24,1
59,454,7,13,959761,1,52.4,1,0,3,0,533,20,2
60,463,5,17,959764,0,62.7,1,0,7,1,543,12,3
61,342,4,11,959778,1,44.3,0,0,4,2,446,23,2
62,480,6,4,959787,1,58.9,0,1,7,3,579,19,1
63,505,11,8,959795,3,62.4,0,2,2,3,570,28,0
64,298,11,19,959809,1,49.1,0,1,5,0,372,27,3
65,332,6,11,959821,0,51.5,0,1,4,5,441,29,2
66,484,10,8,959828,1,60.3,0,1,8,4,586,23,1
67,468,7,21,959834,3,57.4,0,2,5,2,568,27,4
68,513,9,8,959840,4,66.6,0,2,14,2,595,19,1
69,467,6,16,959846,2,61.5,1,2,6,2,564,23,2
70,256,12,11,959849,1,42.2,0,1,2,0,367,29,2
71,385,5,13,959875,2,50.8,0,0,3,2,485,11,3
72,396,6,14,959881,4,52.9,0,2,4,1,485,18,0
73,470,7,11,959898,1,55.3,0,1,10,1,546,25,3
74,359,3,14,959903,3,49.6,0,2,3,4,468,34,0
75,398,4,9,959908,2,48.7,0,2,9,3,492,21,0
76,380,4,17,1080506,4,49.3,0,2,3,3,479,21,3
77,670,3,13,1080521,3,73.8,0,2,9,1,752,14,0
78,423,11,12,1080527,2,63.9,0,2,2,3,558,6,2
79,325,5,17,1080543,1,50.7,0,1,4,6,433,20,5
80,490,1,4,1080549,4,62.1,0,2,2,3,605,16,1
81,416,4,13,1080556,2,47.3,0,2,2,2,497,20,1
82,698,13,8,1080569,5,74.2,0,2,9,0,763,17,1
83,509,3,14,1080576,0,64.6,0,1,3,2,627,22,0
84,561,3,9,1080594,2,67.5,0,2,7,3,662,16,1
85,495,10,9,1080595,2,59.4,0,2,3,2,595,18,2
86,399,3,5,1080602,4,55.3,0,2,5,1,518,23,2
87,446,6,14,1080621,6,59.6,0,2,9,1,563,19,1
88,608,9,5,1080622,2,77.3,0,2,13,0,702,19,1
89,474,9,17,1080632,3,60.2,0,0,5,1,563,19,2
90,537,8,11,1080638,0,64.6,0,1,8,2,661,22,1
91,507,3,13,1080661,1,62.4,0,1,2,5,638,15,2
92,515,8,9,1080672,4,63.8,0,2,6,0,625,26,0
93,526,15,12,1080678,0,72.2,0,0,6,1,636,13,1
94,605,5,10,1080683,2,70.7,0,1,3,3,698,9,3
95,516,11,7,1080693,2,67.1,0,1,7,5,611,10,2
96,306,4,12,1080712,1,43,0,2,3,2,437,23,2
97,279,7,13,1080715,1,44.1,0,1,2,2,389,28,3
98,598,2,14,1080717,3,62.9,0,2,4,4,679,19,0
99,299,10,14,1080718,2,50.9,0,2,4,2,425,17,3
100,683,6,7,1080751,2,73.6,0,0,7,2,785,30,1
101,500,6,9,1080755,1,67.7,0,2,5,1,607,20,1
102,526,12,5,1080756,1,69.3,0,0,5,2,620,20,0
103,368,2,17,1080792,3,51.4,0,2,1,1,472,23,1
104,343,9,8,1080793,3,53,0,2,5,5,456,16,1
105,494,7,11,1080798,2,66.1,0,1,9,2,588,22,1
106,299,8,7,1080815,1,40.5,0,1,5,2,383,29,3
107,380,8,11,1080822,2,55.7,0,2,6,2,486,23,2
108,765,12,5,1080836,0,80.4,0,0,13,0,848,18,1
109,515,6,10,1080841,4,66.7,0,2,14,3,594,16,0
110,520,4,8,1080846,1,72.3,0,0,7,0,626,23,1
111,428,5,9,1080858,1,60,0,2,2,0,537,12,1
112,499,3,9,1080874,0,64.9,0,1,4,1,599,13,1
113,464,4,9,1080875,1,63.7,0,2,9,2,566,21,1
114,809,4,8,1190418,3,74.7,0,2,3,2,913,13,0
115,530,4,5,1190356,5,55,0,2,7,3,601,20,0
116,550,6,8,1190550,2,67.8,0,2,4,1,660,16,2
117,352,6,14,1190222,3,56.7,0,2,9,1,486,14,3
118,576,3,10,1190544,4,56,0,2,12,4,655,12,1
119,288,3,9,1190223,0,33.9,1,0,2,2,372,15,2
120,581,12,7,1190196,1,71.3,0,1,14,1,676,6,1
121,352,3,8,1190182,3,54.4,0,1,8,1,477,20,3
122,456,7,7,1190396,2,60.6,0,2,7,4,566,15,3
123,545,5,8,1190234,1,63.8,0,0,1,2,629,26,1
124,411,4,6,1190195,4,48.6,0,2,5,3,507,19,2
125,277,5,10,1190354,4,35.7,0,2,4,3,367,33,2
126,483,13,16,1190393,1,67.9,0,0,5,0,584,13,1
127,525,9,7,1190492,0,71.9,0,1,8,2,632,6,1
128,583,2,7,1190323,5,57.2,0,2,4,2,662,17,0
129,668,1,9,1190455,0,68.4,0,0,5,0,763,12,2
130,472,10,15,1190284,3,61.1,0,2,6,2,562,11,1
131,611,5,16,1190536,0,70.2,0,1,3,1,711,20,1
132,660,9,10,1190250,3,73.4,0,2,6,0,766,14,0
133,609,8,7,1190443,4,68.3,0,2,7,1,712,27,0
134,515,5,6,1190261,1,67.8,0,1,9,2,613,16,1
135,644,12,8,1190301,1,79.4,0,1,12,1,736,13,1
136,381,3,13,1190316,4,52,0,2,7,1,488,20,0
137,472,2,7,1190474,0,61.9,0,1,4,1,588,12,0
138,334,8,11,1190528,3,46.5,0,1,5,1,436,21,0
139,535,7,9,1190501,3,61.8,0,2,10,4,619,26,1
140,445,10,10,1190311,3,60.1,0,2,3,2,548,14,5
141,658,7,3,1190477,4,72.3,0,2,5,1,737,10,0
142,492,4,5,1190488,2,61.6,0,1,4,2,584,11,1
143,500,7,7,1190270,0,62.2,0,1,8,3,580,17,0
144,504,7,10,1190310,1,53.5,0,1,3,0,587,19,0
145,204,3,15,1190363,2,34.1,0,1,4,2,302,17,3
146,662,9,9,1190410,0,71.8,0,0,11,1,756,15,2
147,603,4,12,1190188,1,72.4,0,2,5,2,712,24,1
148,658,8,7,1190349,2,70.9,0,2,3,4,772,26,0
149,410,9,12,1190428,2,57.9,0,2,7,2,511,14,0
150,399,1,8,1190399,2,47.8,0,2,8,0,510,14,2
151,476,6,5,1190429,5,58,0,2,1,6,581,18,1
